"";"陳炎新牧師";"美哉 呂底亞";"audio/sermon070701.mp3";"";"2007-07-01"
"";"John Maxham　麥約翰弟兄";"Children of God　神的孩子";"audio/sermon070708.mp3";"";"2007-07-08"
"";"于慕潔長老";"作基督的使者";"audio/sermon070715.mp3";"";"2007-07-15"
"";"黃浩新弟兄";"天門野渡話雅各";"audio/sermon070722.mp3";"";"2007-07-22"
"";"陳鴻瑋牧師";"在小事上忠心";"audio/sermon070729.mp3";"";"2007-07-29"
"";"陳炎新牧師";"雅各的梯子";"audio/sermon070805.mp3";"";"2007-08-05"
"";"Pastor John Eng　伍英立牧師";"Solitude and prayer　獨處與禱告";"audio/sermon070812.mp3";"";"2007-08-12"
"";"羅天祐弟兄　David Lo";"愛是一切﹐愛建造家庭 Love is everything and it builds the house";"audio/sermon070819.mp3";"";"2007-08-19"
"";"鄭昌文長老";"唯獨信靠";"audio/sermon070826.mp3";"";"2007-08-26"
"";"John Maxham";"God has a vision for you";"audio/sermon070902e.mp3";"";"2007-09-02"
"";"羅天祐弟兄";"承接聖職";"audio/sermon070902c.mp3";"";"2007-09-02"
"";"Peter Verling";"Ministry, mercy and manifestation of truth";"audio/sermon070916e.mp3";"";"2007-09-16"
"";"顏重行弟兄";"放手";"audio/sermon070916c.mp3";"";"2007-09-16"
"";"Pastor Lee Hearn";"What the apostles believed";"audio/sermon070923e.mp3";"";"2007-09-23"
"";"董鎮賢弟兄";"將來我們要得什麼呢﹖";"audio/sermon070923c.mp3";"";"2007-09-23"
"";"Pastor John Eng";"Christ, who is your life";"audio/sermon070930e.mp3";"";"2007-09-30"
"";"吳榮滁牧師";"不向現實低頭的禱告";"audio/sermon070930c.mp3";"";"2007-09-30"
"";"Yongchun Wu";"Reform";"audio/sermon071007e.mp3";"";"2007-10-07"
"";"呂允智牧師";"人生的優先";"audio/sermon071007c.mp3";"";"2007-10-07"
"";"John Maxham";"I am the God who is here with you";"audio/sermon071014e.mp3";"";"2007-10-14"
"";"詹宏牧師";"人生一苦﹐問君能有幾多苦﹖";"audio/sermon071014c.mp3";"";"2007-10-14"
"";"Felix Yen";"A life God touched";"audio/sermon071021e.mp3";"";"2007-10-21"
"";"謝虹牧師";"耶穌三個重要的宣告";"audio/sermon071021c.mp3";"";"2007-10-21"
"";"董鎮賢弟兄";"聖殿的真義";"audio/sermon071028c.mp3";"";"2007-10-28"
"";"John Maxham";"The righteous Noah";"audio/sermon071104e.mp3";"";"2007-11-04"
"";"羅天祐傳道";"約拿的神績　祂必興旺﹐我必衰微";"audio/sermon071104c.mp3";"";"2007-11-04"
"";"John Maxham　麥約翰";"Deny yourself　捨己";"audio/sermon071111a.mp3";"";"2007-11-11"
"";"Felix Yen";"It's only about giving thanks?";"audio/sermon071118e.mp3";"";"2007-11-18"
"";"李定武牧師";"誘惑和墮落";"audio/sermon071118c.mp3";"";"2007-11-18"
"";"John Maxham";"Giving thanks with all our strength";"audio/sermon071125e.mp3";"";"2007-11-25"
"";"羅天祐傳道";"認識恩典";"audio/sermon071125c.mp3";"";"2007-11-25"
"";"Pastor Lee Hearn";"He has a name";"audio/sermon071202e.mp3";"";"2007-12-02"
"";"劉銘輝牧師";"安息";"audio/sermon071202c.mp3";"";"2007-12-02"
"";"Paster David Lo";"Be aliens";"audio/sermon071209e.mp3";"";"2007-12-09"
"";"李定武牧師";"十字架與生命";"audio/sermon071209c.mp3";"";"2007-12-09"
"";"John Maxham";"But we will center our minds and hearts on Jesus";"audio/sermon071216e.mp3";"";"2007-12-16"
"";"譚寧國牧師";"主恩不限量�轉壓力為能力";"audio/sermon071216c.mp3";"";"2007-12-16"
"";"黃浩新弟兄　Hao-Hsin Huang";"我將回家過聖誕節　I'll be home for Christmas";"audio/sermon071223.mp3";"";"2007-12-23"
"";"John Maxham";"My soul glorifies the Lord";"audio/sermon071230e.mp3";"";"2007-12-30"
"";"羅天祐傳道";"三問與三省";"audio/sermon071230c.mp3";"";"2007-12-30"
"";"Felix Yen";"Learn to win";"audio/sermon080727e.mp3";"";"2008-07-27"
"";"陳頌慈";"反覆回味主恩";"audio/sermon080727c.mp3";"";"2008-07-27"
"";"Mark Weinglass";"Faith does not mean suffering";"audio/sermon080720e.mp3";"";"2008-07-20"
"";"陳炎新牧師";"生命的經歷";"audio/sermon080720c.mp3";"";"2008-07-20"
"";"John Maxham";"The last hour";"audio/sermon080713e.mp3";"";"2008-07-13"
"";"楊梁秀琴傳道";"負容易的軛";"audio/sermon080713c.mp3";"";"2008-07-13"
"";"John Maxham";"Out of the world";"audio/sermon080706e.mp3";"";"2008-07-06"
"";"羅天祐傳道";"展開旌旗";"audio/sermon080706c.mp3";"";"2008-07-06"
"";"羅天祐傳道 Pastor David Lo";"藉我賜恩福　Make me a blessing";"audio/sermon080629.mp3";"";"2008-06-29"
"";"John Maxham";"Is our church passing the test?";"audio/sermon080622e.mp3";"";"2008-06-22"
"";"李定武牧師";"奉獻的生活";"audio/sermon080622c.mp3";"";"2008-06-22"
"";"Felix Yen";"Pleasing our Father";"audio/sermon080615e.mp3";"";"2008-06-15"
"";"羅天祐傳道";"約瑟的神　溪邊的樹";"audio/sermon080615c.mp3";"";"2008-06-15"
"";"Carl Fitzgerald";"Repairing the wall";"audio/sermon080608e.mp3";"";"2008-06-08"
"";"吳文蓀";"單純﹖";"audio/sermon080608c.mp3";"";"2008-06-08"
"";"John Maxham";"What's behind it all?";"audio/sermon080601e.mp3";"";"2008-06-01"
"";"于宏潔";"同蒙天召的聖潔弟兄　4";"audio/sermon080601c.mp3";"";"2008-06-01"
"";"于宏潔";"同蒙天召的聖潔弟兄　3";"audio/sermon080531c2.mp3";"";"2008-05-31"
"";"于宏潔";"同蒙天召的聖潔弟兄　2";"audio/sermon080531c1.mp3";"";"2008-05-31"
"";"于宏潔";"同蒙天召的聖潔弟兄　1";"audio/sermon080530c.mp3";"";"2008-05-30"
"";"趙漢光";"拓展你的地平線";"audio/sermon080525c.mp3";"";"2008-05-25"
"";"Carl Fitzgerald";"Revival begins with you";"audio/sermon080518e.mp3";"";"2008-05-18"
"";"羅天祐傳道";"不要怕﹐只要信﹗";"audio/sermon080518c.mp3";"";"2008-05-18"
"";"Yongchun Wu";"How to make mother happy";"audio/sermon080511e.mp3";"";"2008-05-11"
