"";"夏長勝傳道";"作堅固的人";"audio2014/sermon140928c.mp3";"羅馬書 15:1-6";"2014-09-28"
"";"Jonathan Luke";"Almighty friend";"audio2014/sermon140921e.mp3";"Psaml 91";"2014-09-21"
"";"許如志牧師";"標竿人生　寧有耶穌";"audio2014/sermon140921c.mp3";"腓立比書 3:7-16";"2014-09-21"
"";"Pastor Nathan Hieb";"Unity of the faith";"audio2014/sermon140914e.mp3";"Ephesians 4:11-13";"2014-09-14"
"";"Carl Fitzgerald";"Did God really say?";"audio2014/sermon140907e.mp3";"Genesis 3:1-14, Exodus 20:2-3";"2014-09-07"
"";"施美伶師母";"關鍵時刻";"audio2014/sermon140907c.mp3";"馬太福音 24:3, 32-36";"2014-09-07"
"";"勞伯祥牧師";"神喜悅，人稱許的服事";"audio2014/sermon140831c.mp3";"羅馬書 14:17-18";"2014-08-31"
"";"林三綱弟兄";"健康的教會�全民事奉";"audio2014/sermon140824c.mp3";"彼得前書 2:9";"2014-08-24"
"";"Jesse Wu";"The peace comes after the leap of faith";"audio2014/sermon140817e.mp3";"John 9";"2014-08-17"
"";"趙漢光弟兄";"天國的文化";"audio2014/sermon140817c.mp3";"以弗所書 5:1-7";"2014-08-17"
"";"Pastor Nathan Hieb";"Built up through service";"audio2014/sermon140810e.mp3";"Ephesians 2:11-13";"2014-08-10"
"";"葉啟明牧師";"跟隨主";"audio2014/sermon140810c.mp3";"路加福音 18:31-34";"2014-08-10"
"";"Pastor Nathan Hieb";"Works of service";"audio2014/sermon140803e.mp3";"Ephesians 2:4-10";"2014-08-03"
"";"許如志牧師";"主心我心　求主的事";"audio2014/sermon140803c.mp3";"腓立比書2:19-30";"2014-08-03"
"";"Carl Fitzgerald";"Our great salvation";"audio2014/sermon140727e.mp3";"2 Peter 1:1-4";"2014-07-27"
"";"何進傳道";"成全聖徒　紀念主恩";"audio2014/sermon140727c.mp3";"約書亞記 4:9-24";"2014-07-27"
"";"Aaron Shum";"Have a joyful day";"audio2014/sermon140720e.mp3";"Psalm 16";"2014-07-20"
"";"黃小石長老";"活潑的盼望";"audio2014/sermon140720c.mp3";"彼得前書 1:3-5";"2014-07-20"
"";"Felix Yen";"Does God demand? Does He ask?";"audio2014/sermon140713e.mp3";"Luke 12:47-48";"2014-07-13"
"";"羅天祐牧師";"教會的品格�無偽之信";"audio2014/sermon140713c.mp3";"提摩太後書 1:5";"2014-07-13"
"";"Pastor Nathan Hieb";"Give to God what is God's";"audio2014/sermon140706e.mp3";"Matthew 22:15-22";"2014-07-06"
"";"吳文蓀弟兄";"另類、非典，卻是活得平凡快樂";"audio2014/sermon140706c.mp3";"馬太福音 5:3-16";"2014-07-06"
"";"Jonathan Luke";"Witnesses of the truth";"audio2015/sermon150628e.mp3";"John 18:33-38a";"2015-06-28"
"";"吳文蓀弟兄";"上帝，似非而是";"audio2015/sermon150628c.mp3";"創世記 2:16-17, 2:1-5, 5:24, 6:3, 6:5, 6:9";"2015-06-28"
"";"Pastor Nathan Hieb";"Wise honesty";"audio2015/sermon150621e.mp3";"Ephesians 4:20-29";"2015-06-21"
"";"許如志牧師";"活出健康的教會（三）委身";"audio2015/sermon150621c.mp3";"羅馬書 6:1-2";"2015-06-21"
