"";"Pastor Samuel Yu 于尚冕傳道";"Revelation of the incarnation of Jesus Christ 耶穌基督道成肉身的啟示";"audio2018/sermon181223ec.mp3";"John 1:1-18 約翰福音 1:1-18";"2018-12-23"
"";"陳永建牧師";"誠心盼望朝見耶穌";"audio2018/sermon181216c.mp3";"路加福音 2:25-38";"2018-12-16"
"";"Pastor Samuel Yu";"Ultimate peace of God";"audio2018/sermon181209e.mp3";"Isaiah 9:6";"2018-12-09"
"";"陳永建牧師";"耶穌降生的目的";"audio2018/sermon181209c.mp3";"提摩太前書 1:15, 路加福19:10, 約翰福音 10:10, 馬太福音 20:28, 希伯來書 10:7";"2018-12-09"
"";"Pastor Samuel Yu";"Hope, fulfilled";"audio2018/sermon181202e.mp3";"Colossians 1:15-20";"2018-12-02"
"";"陳永建牧師";"黑暗中的大光";"audio2018/sermon181202c.mp3";"以賽亞書 9:1-2, 馬太福音 4:14-16";"2018-12-02"
"";"Pastor Samuel Yu";"The mercy and mediation of God";"audio2018/sermon181125e.mp3";"Exodus 33:1-11";"2018-11-25"
"";"陳永建牧師";"屬靈裝備";"audio2018/sermon181125c.mp3";"以弗所書 6:10-20";"2018-11-25"
"";"Pastor Samuel Yu";"Deepest sense of thanksgiving";"audio2018/sermon181118e.mp3";"Hebrews 10:11-18";"2018-11-18"
"";"陳永建牧師";"以感恩為祭";"audio2018/sermon181118c.mp3";"路加福音 7:36-50";"2018-11-18"
"";"Pastor Samuel Yu";"Moments of silence and awe";"audio2018/sermon181111e.mp3";"Exodus 14:10-16";"2018-11-11"
"";"陳永建牧師";"靈命見證";"audio2018/sermon181111c.mp3";"以弗所書 5:18-21";"2018-11-11"
"";"Carl Fitzgerald";"The kingdom of God";"audio2018/sermon181104e.mp3";"Luke 1:1-4";"2018-11-04"
"";"黃小石長老";"那九個在那裡呢";"audio2018/sermon181104c.mp3";"路加福音 17:1-19";"2018-11-04"
"";"Pastor Samuel Yu";"How-to thrive in the end times";"audio2018/sermon181028e.mp3";"2 Peter 3:14-18";"2018-10-28"
"";"陳永建牧師";"智慧人生";"audio2018/sermon181028c.mp3";"以弗所書 5：15-17";"2018-10-28"
"";"Pastor Samuel Yu";"Practicing satisfaction";"audio2018/sermon181021e.mp3";"1 Peter 1:1-15";"2018-10-21"
"";"陳永建牧師";"信主之後";"audio2018/sermon181021c.mp3";"以弗所書 4:14-15, 17, 20-24";"2018-10-21"
"";"Pastor Samuel Yu";"Enduring for glory";"audio2018/sermon181014e.mp3";"1 Peter 4:1-11";"2018-10-14"
"";"陳永建牧師";"肢體生活";"audio2018/sermon181014c.mp3";"以弗所書 4:29-32, 5:3-14";"2018-10-14"
"";"Pastor Samuel Yu";"Enduring for love";"audio2018/sermon181007e.mp3";"1 Peter 2:13-25";"2018-10-07"
"";"陳永建牧師";"新⽣活";"audio2018/sermon181007c.mp3";"以弗所書 4:25-28";"2018-10-07"
"";"Pastor Samuel Yu";"In God we must trust";"audio2018/sermon180930e.mp3";"1 Peter 1:1-9, 13";"2018-09-30"
"";"陳永建牧師";"教會的成長";"audio2018/sermon180930c.mp3";"以弗所書 4:7-16, 5:1-2";"2018-09-30"
"";"Pastor Samuel Yu";"Humility, love, faith";"audio2018/sermon180923e.mp3";"1 Peter 5:6-11";"2018-09-23"
"";"勞伯祥牧師";"與神和好";"audio2018/sermon180923c.mp3";"哥林多後書 518-21";"2018-09-23"
"";"Felix Yen";"To follow or leave";"audio2018/sermon180916e.mp3";"John 6:66-69";"2018-09-16"
"";"陳永建牧師";"行事爲人與蒙召的相稱";"audio2018/sermon180916c.mp3";"以弗所書 4：1-6";"2018-09-16"
"";"Pastor Hoon Kim";"Storms";"audio2018/sermon180909e.mp3";"Mark 4:35-41";"2018-09-09"
"";"黃嘉生牧師";"佈道會（二） 探生命源頭";"audio2018/sermon180909c2.mp3";"約翰福音 1:1-5, 9-14";"2018-09-09"
"";"黃嘉生牧師";"佈道會（一） 與永恆對話";"audio2018/sermon180908c2.mp3";"創世記 1:1-4, 詩篇 8:3-8";"2018-09-08"
"";"黃嘉生牧師";"培靈會（三） 成長的生命－葡萄成熟時";"audio2018/sermon180909c1.mp3";"約翰福音 15：1－11";"2018-09-09"
"";"黃嘉生牧師";"培靈會（二） 合一的生命—解剖學的功課";"audio2018/sermon180908c1.mp3";"以弗所書 4:1-6, 15-16";"2018-09-08"
"";"黃嘉生牧師";"培靈會（一） 更新的生命—空與滿";"audio2018/sermon180907c.mp3";"哥林多後書 5:14-15";"2018-09-07"
"";"Pastor Samuel Yu";"Wages of grace";"audio2018/sermon180902e.mp3";"Matthew 5:1-12";"2018-09-02"
"";"許如志牧師";"榮神益人";"audio2018/sermon180902c.mp3";"哥林多前書 6:12, 20, 10:23, 31";"2018-09-02"
"";"Pastor Samuel Yu";"Return of the King";"audio2018/sermon180826e.mp3";"Luke 19:11-27";"2018-08-26"
"";"郭獻忠牧師";"最有價值的事奉";"audio2018/sermon180826c.mp3";"路加福音 5:1-11";"2018-08-26"
"";"勞伯祥牧師";"信心升沉記";"audio2018/sermon180819c.mp3";"詩篇 89:1-8, 24, 33, 38-52";"2018-08-19"
"";"陳永建牧師";"使徒保羅靈命成長的見證";"audio2018/sermon180812c.mp3";"使徒行傳 9:1-6, 羅馬書 12:1-2, 腓立比書 3:5-14";"2018-08-12"
"";"Pastor Samuel Yu";"The lost son and searching father";"audio2018/sermon180805e.mp3";"Luke 15:20-32";"2018-08-05"
"";"許如志牧師";"美善的事";"audio2018/sermon180805c.mp3";"詩篇 133";"2018-08-05"
"";"Pastor Joseph Feun";"The disciples' prayer";"audio2018/sermon180729e.mp3";"Matthew 6:9-13";"2018-07-29"
"";"張亞倫牧師";"蒙神引導的人生";"audio2018/sermon180729c.mp3";"以弗所書 5：15-20";"2018-07-29"
